Year,Org,Division,Wins,Losses,Ties,WL%,Notes,Name
2007-08,Air Force,FBS,9,4.0,0.0,0.6920000000000001,,Troy Calhoun
2008-09,Air Force,FBS,8,5.0,0.0,0.615,,Troy Calhoun
2009-10,Air Force,FBS,8,5.0,0.0,0.615,,Troy Calhoun
2010-11,Air Force,FBS,9,4.0,0.0,0.6920000000000001,,Troy Calhoun
2011-12,Air Force,FBS,7,6.0,0.0,0.5379999999999999,,Troy Calhoun
2012-13,Air Force,FBS,6,7.0,0.0,0.462,,Troy Calhoun
2013-14,Air Force,FBS,2,10.0,0.0,0.16699999999999998,,Troy Calhoun
2014-15,Air Force,FBS,10,3.0,0.0,0.769,,Troy Calhoun
2015-16,Air Force,FBS,8,6.0,0.0,0.5710000000000001,,Troy Calhoun
2016-17,Air Force,FBS,10,3.0,0.0,0.769,,Troy Calhoun
2017-18,Air Force,FBS,5,7.0,0.0,0.41700000000000004,,Troy Calhoun
