Team,Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL,Notes
Air Force Falcons,2017-18,,FBS,Mountain West,5,7,0,0.41700000000000004,nan
Air Force Falcons,2016-17,,FBS,Mountain West,10,3,0,0.769,nan
Air Force Falcons,2015-16,,FBS,Mountain West,8,6,0,0.5710000000000001,nan
Air Force Falcons,2014-15,,FBS,Mountain West,10,3,0,0.769,nan
Air Force Falcons,2013-14,,FBS,Mountain West,2,10,0,0.16699999999999998,nan
Air Force Falcons,2012-13,,FBS,Mountain West,6,7,0,0.462,nan
Air Force Falcons,2011-12,,FBS,Mountain West,7,6,0,0.5379999999999999,Military Bowl
Air Force Falcons,2010-11,,FBS,Mountain West,9,4,0,0.6920000000000001,Independence Bowl
Air Force Falcons,2009-10,,FBS,Mountain West,8,5,0,0.615,Armed Forces Bowl
Air Force Falcons,2008-09,,FBS,Mountain West,8,5,0,0.615,Armed Forces Bowl
Air Force Falcons,2007-08,,FBS,Mountain West,9,4,0,0.6920000000000001,Armed Forces Bowl
Air Force Falcons,2006-07,,FBS,Mountain West,4,8,0,0.33299999999999996,nan
Air Force Falcons,2005-06,,FBS,Mountain West,4,7,0,0.364,nan
Air Force Falcons,2004-05,,FBS,Mountain West,5,6,0,0.455,nan
Air Force Falcons,2003-04,,FBS,Mountain West,7,5,0,0.583,nan
Air Force Falcons,2002-03,,FBS,Mountain West,8,5,0,0.615,San Francisco Bowl
Air Force Falcons,2001-02,,FBS,Mountain West,6,6,0,0.5,nan
Air Force Falcons,2000-01,,FBS,Mountain West,9,3,0,0.75,Silicon Valley Bowl
Air Force Falcons,1999-00,,FBS,-,6,5,0,0.545,nan
Air Force Falcons,1998-99,,FBS,-,12,1,0,0.9229999999999999,Oahu Bowl
Air Force Falcons,1997-98,,FBS,-,10,3,0,0.769,Las Vegas Bowl
Air Force Falcons,1996-97,,FBS,-,6,5,0,0.545,nan
Air Force Falcons,1995-96,,FBS,-,8,5,0,0.615,Copper Bowl
Air Force Falcons,1994-95,,FBS,-,8,4,0,0.667,nan
Air Force Falcons,1993-94,,FBS,-,4,8,0,0.33299999999999996,nan
Air Force Falcons,1992-93,,FBS,-,7,5,0,0.583,Liberty Bowl
Air Force Falcons,1991-92,,FBS,-,10,3,0,0.769,Liberty Bowl
Air Force Falcons,1990-91,,FBS,-,7,5,0,0.583,Liberty Bowl
Air Force Falcons,1989-90,,FBS,-,8,4,1,0.654,Liberty Bowl
Air Force Falcons,1988-89,,FBS,-,5,7,0,0.41700000000000004,nan
Air Force Falcons,1987-88,,FBS,-,9,4,0,0.6920000000000001,Freedom Bowl
Air Force Falcons,1986-87,,FBS,-,6,5,0,0.545,nan
Air Force Falcons,1985-86,,FBS,-,12,1,0,0.9229999999999999,Bluebonnet Bowl
Air Force Falcons,1984-85,,FBS,-,8,4,0,0.667,Independence Bowl
Air Force Falcons,1983-84,,FBS,-,10,2,0,0.833,Independence Bowl
Air Force Falcons,1982-83,,FBS,-,8,5,0,0.615,Hall of Fame Bowl
Air Force Falcons,1981-82,,FBS,-,4,7,0,0.364,nan
Air Force Falcons,1980-81,,FBS,-,2,9,1,0.20800000000000002,nan
Air Force Falcons,1979-80,,FBS,-,2,9,0,0.182,nan
Air Force Falcons,1978-79,,nan,-,3,8,0,0.273,nan
Air Force Falcons,1977-78,,FBS,-,2,8,1,0.22699999999999998,nan
Air Force Falcons,1976-77,,FBS,-,4,7,0,0.364,nan
Air Force Falcons,1975-76,,FBS,-,2,8,1,0.22699999999999998,nan
Air Force Falcons,1974-75,,FBS,-,2,9,0,0.182,nan
Air Force Falcons,1973-74,,FBS,-,6,4,0,0.6,nan
Air Force Falcons,1972-73,,FBS,-,6,4,0,0.6,nan
Air Force Falcons,1971-72,,FBS,-,6,4,0,0.6,nan
Air Force Falcons,1970-71,,FBS,-,9,3,0,0.75,Sugar Bowl
Air Force Falcons,1969-70,,FBS,-,6,4,0,0.6,nan
Air Force Falcons,1968-69,,FBS,-,7,3,0,0.7,nan
Air Force Falcons,1967-68,,FBS,-,2,6,2,0.3,nan
Air Force Falcons,1966-67,,FBS,-,4,6,0,0.4,nan
Air Force Falcons,1965-66,,FBS,-,3,6,1,0.35,nan
Air Force Falcons,1964-65,,FBS,-,4,5,1,0.45,nan
Air Force Falcons,1963-64,,FBS,-,7,4,0,0.636,Gator Bowl
Air Force Falcons,1962-63,,FBS,-,5,5,0,0.5,nan
Air Force Falcons,1961-62,,FBS,-,3,7,0,0.3,nan
Air Force Falcons,1960-61,,FBS,-,4,6,0,0.4,nan
Air Force Falcons,1959-60,,FBS,-,5,4,1,0.55,nan
Air Force Falcons,1958-59,,FBS,-,9,0,2,0.909,Tied Cotton Bowl
Air Force Falcons,1957-58,,FBS,-,3,6,1,0.35,nan
Air Force Falcons,1956-57,,D-II,-,6,2,1,0.722,nan
