Team,Date,Opponent,Result
Air Force Falcons,08/31/2013,Colgate,W 38 - 13
Air Force Falcons,09/07/2013,Utah St.,L 20 - 52
Air Force Falcons,09/13/2013,@ Boise St.,L 20 - 42
Air Force Falcons,09/21/2013,Wyoming,L 23 - 56
Air Force Falcons,09/28/2013,@ Nevada,L 42 - 45
Air Force Falcons,10/05/2013,@ Navy,L 10 - 28
Air Force Falcons,10/10/2013,San Diego St.,L 20 - 27
Air Force Falcons,10/26/2013,Notre Dame,L 10 - 45
Air Force Falcons,11/02/2013,Army West Point,W 42 - 28
Air Force Falcons,11/08/2013,@ New Mexico,L 37 - 45
Air Force Falcons,11/21/2013,UNLV,L 21 - 41
Air Force Falcons,11/30/2013,@ Colorado St.,L 13 - 58
